key,pt-br,en,es,fr,de,it,ja,ko,ar,context
DocumentacaoClient.bloqueio_via_hosts_e_firewall_de_domnios_de_teleme,"Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.","Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.","Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.","Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.","Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.","Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.","Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.","Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.","Bloqueio via Hosts e Firewall de domínios de telemetria conhecidos da Microsoft e terceiros, reduzindo uso de banda e CPU em background.",app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx
DocumentacaoClient.servios_inteis,"Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx","Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx","Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx","Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx","Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx","Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx","Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx","Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx","Serviços ""Inúteis"","","","","","","","","",""app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx",
DocumentacaoClient.desativao_segura_de_servios_como_fax_telephony_ret,"Desativação segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.","Desativação segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.","Desativación segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.","Desativation segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.","Desativation segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.","Desativação segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.","Desativação segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.","Desativação segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.","Desativação segura de serviços como Fax, Telephony, Retail Demo, Xbox (opcional), liberando memória RAM.",app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx
DocumentacaoClient.diagtrack_connected_user_experiences_and_telemetry,DiagTrack (Connected User Experiences and Telemetry),DiagTrack (Connected User Experiences and Telemetry),DiagTrack (Connected User Experiences and Telemetry),DiagTrack (Connected User Experiences and Telemetry),DiagTrack (Connected User Experiences and Telemetry),DiagTrack (Connected User Experiences and Telemetry),DiagTrack (Connected User Experiences and Telemetry),DiagTrack (Connected User Experiences and Telemetry),DiagTrack (Connected User Experiences and Telemetry),app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx
DocumentacaoClient.dmwappushservice_wap_push_message_routing_service,dmwappushservice (WAP Push Message Routing Service),dmwappushservice (WAP Push Message Routing Service),dmwappushservice (WAP Push Message Routing Service),dmwappushservice (WAP Push Message Routing Service),dmwappushservice (WAP Push Message Routing Service),dmwappushservice (WAP Push Message Routing Service),dmwappushservice (WAP Push Message Routing Service),dmwappushservice (WAP Push Message Routing Service),dmwappushservice (WAP Push Message Routing Service),app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx
DocumentacaoClient.wsearch_windows_search_opcional,WSearch (Windows Search) *Opcional,WSearch (Windows Search) *Opcional,WSearch (Windows Search) *Opcional,WSearch (Windows Search) *Opcional,WSearch (Windows Search) *Opcional,WSearch (Windows Search) *Opcional,WSearch (Windows Search) *Opcional,WSearch (Windows Search) *Opcional,WSearch (Windows Search) *Opcional,app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx
DocumentacaoClient.sysmain_superfetch_dependendo_do_tipo_de_ssd,SysMain (Superfetch) *Dependendo do tipo de SSD,SysMain (Superfetch) *Dependendo do tipo de SSD,SysMain (Superfetch) *Dependendo do tipo de SSD,SysMain (Superfetch) *Dependendo do tipo de SSD,SysMain (Superfetch) *Dependendo do tipo de SSD,SysMain (Superfetch) *Dependendo do tipo de SSD,SysMain (Superfetch) *Dependendo do tipo de SSD,SysMain (Superfetch) *Dependendo do tipo de SSD,SysMain (Superfetch) *Dependendo do tipo de SSD,app\voltrisoptimizer\documentacao\DocumentacaoClient.tsx
HowItWorksClient.status_do_kernel,Status do Kernel,Status do Kernel,Status do Kernel,Status do Kernel,Status do Kernel,Status do Kernel,Status do Kernel,Status do Kernel,Status do Kernel,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,Otimizado,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.uso_de_cpu,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,Uso de CPU,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.latncia_dpc,Latência DPC,Latência DPC,Latência DPC,Latência DPC,Latência DPC,Latência DPC,Latência DPC,Latência DPC,Latência DPC,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.motor_ia,Motor IA,Motor IA,Motor IA,Motor IA,Motor IA,Motor IA,Motor IA,Motor IA,Motor IA,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.anlise_ativa,Análise Ativa,Análise Ativa,Análise Ativa,Análise Ativa,Análise Ativa,Análise Ativa,Análise Ativa,Análise Ativa,Análise Ativa,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.scheduling,Scheduling,Scheduling,Scheduling,Scheduling,Scheduling,Scheduling,Scheduling,Scheduling,Scheduling,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.memory_purge,Memory Purge,Memory Purge,Memory Purge,Memory Purge,Memory Purge,Memory Purge,Memory Purge,Memory Purge,Memory Purge,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.ativo,Ativo,Active,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,Ativo,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.arquitetura_de_software,Arquitetura de Software,Arquitetura de Software,Arquitetura de Software,Arquitetura de Software,Arquitetura de Software,Arquitetura de Software,Arquitetura de Software,Arquitetura de Software,Arquitetura de Software,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.verso_atual,Versão Atual:,Versão Atual:,Versón Atual:,Verstion Atual:,Versão Atual:,Versão Atual:,Versão Atual:,Versão Atual:,Versão Atual:,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.discover_logic,Discover Logic,Discover Logic,Discover Logic,Discover Logic,Discover Logic,Discover Logic,Discover Logic,Discover Logic,Discover Logic,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.workflow_de_otimizao,Workflow de Otimização,Workflow de Otimização,Workflow de Otimización,Workflow de Otimization,Workflow de Otimization,Workflow de Otimização,Workflow de Otimização,Workflow de Otimização,Workflow de Otimização,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.otimizao_de_nvel_kernel,Otimização de Nível Kernel,Otimização de Nível Kernel,Otimización de Nível Kernel,Otimization de Nível Kernel,Otimization de Nível Kernel,Otimização de Nível Kernel,Otimização de Nível Kernel,Otimização de Nível Kernel,Otimização de Nível Kernel,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.thread_scheduling,Thread Scheduling,Thread Scheduling,Thread Scheduling,Thread Scheduling,Thread Scheduling,Thread Scheduling,Thread Scheduling,Thread Scheduling,Thread Scheduling,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.memory_management,Memory Management,Memory Management,Memory Management,Memory Management,Memory Management,Memory Management,Memory Management,Memory Management,Memory Management,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.systemcorev3log,system_core_v3.log,system_core_v3.log,system_core_v3.log,system_core_v3.log,system_core_v3.log,system_core_v3.log,system_core_v3.log,system_core_v3.log,system_core_v3.log,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.done,[DONE],[DONE],[DONE],[DONE],[DONE],[DONE],[DONE],[DONE],[DONE],app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.gt_unparking_cpu_cores,&gt; Unparking CPU Cores,&gt; Unparking CPU Cores,&gt; Unparking CPU Cores,&gt; Unparking CPU Cores,&gt; Unparking CPU Cores,&gt; Unparking CPU Cores,&gt; Unparking CPU Cores,&gt; Unparking CPU Cores,&gt; Unparking CPU Cores,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.all_active,ALL ACTIVE,ALL ACTIVE,ALL ACTIVE,ALL ACTIVE,ALL ACTIVE,ALL ACTIVE,ALL ACTIVE,ALL ACTIVE,ALL ACTIVE,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.gt_network_jitter_clean,&gt; Network Jitter Clean,&gt; Network Jitter Clean,&gt; Network Jitter Clean,&gt; Network Jitter Clean,&gt; Network Jitter Clean,&gt; Network Jitter Clean,&gt; Network Jitter Clean,&gt; Network Jitter Clean,&gt; Network Jitter Clean,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.peak_performance,PEAK PERFORMANCE,PEAK PERFORMANCE,PEAK PERFORMANCE,PEAK PERFORMANCE,PEAK PERFORMANCE,PEAK PERFORMANCE,PEAK PERFORMANCE,PEAK PERFORMANCE,PEAK PERFORMANCE,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.verso_de_engenharia,Versão de Engenharia:,Versão de Engenharia:,Versón de Engenharia:,Verstion de Engenharia:,Versão de Engenharia:,Versão de Engenharia:,Versão de Engenharia:,Versão de Engenharia:,Versão de Engenharia:,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.kernel_tuning,Kernel Tuning,Kernel Tuning,Kernel Tuning,Kernel Tuning,Kernel Tuning,Kernel Tuning,Kernel Tuning,Kernel Tuning,Kernel Tuning,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.monitoramento_ativo,Monitoramento Ativo,Monitoramento Ativo,Monitoramiento Ativo,Monitoramento Ativo,Monitoramento Ativo,Monitoramento Ativo,Monitoramento Ativo,Monitoramento Ativo,Monitoramento Ativo,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.gamers,Gamers,Gamers,Gamers,Gamers,Gamers,Gamers,Gamers,Gamers,Gamers,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.streamers,Streamers,Streamers,Streamers,Streamers,Streamers,Streamers,Streamers,Streamers,Streamers,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
HowItWorksClient.usurios,Usuários,Usuários,Usuários,Usuários,Usuários,Usuários,Usuários,Usuários,Usuários,app\voltrisoptimizer\como-funciona\HowItWorksClient.tsx
page.software_de_otimizao_de_pc,Software de Otimização de PC,Software de Otimização de PC,Software de Otimización de PC,Software de Otimization de PC,Software de Otimization de PC,Software de Otimização de PC,Software de Otimização de PC,Software de Otimização de PC,Software de Otimização de PC,app\voltris-optimizer\page.tsx
page.14_dias_grtis,14 dias grátis,14 dias grátis,14 dias grátis,14 dias grátis,14 dias grátis,14 dias grátis,14 dias grátis,14 dias grátis,14 dias grátis,app\voltris-optimizer\page.tsx
page.sem_carto,Sem cartão,Sem cartão,Sem cartón,Sem carttion,Sem cartão,Sem cartão,Sem cartão,Sem cartão,Sem cartão,app\voltris-optimizer\page.tsx
page.cancelamento_fcil,Cancelamento fácil,Cancelamento fácil,Cancelamiento fácil,Cancelamento fácil,Cancelamento fácil,Cancelamento fácil,Cancelamento fácil,Cancelamento fácil,Cancelamento fácil,app\voltris-optimizer\page.tsx
page.interface_intuitiva_para_controle_total_do_desempe,Interface intuitiva para controle total do desempenho,Interface intuitiva para controle total do desempenho,Interface intuitiva para controle total do desempenho,Interface intuitiva para controle total do desempenho,Interface intuitiva para controle total do desempenho,Interface intuitiva para controle total do desempenho,Interface intuitiva para controle total do desempenho,Interface intuitiva para controle total do desempenho,Interface intuitiva para controle total do desempenho,app\voltris-optimizer\page.tsx
page.25_fps,+25% FPS,+25% FPS,+25% FPS,+25% FPS,+25% FPS,+25% FPS,+25% FPS,+25% FPS,+25% FPS,app\voltris-optimizer\page.tsx
page.mdia_de_aumento,Média de aumento,Média de aumento,Média de aumiento,Média de aumento,Média de aumento,Média de aumento,Média de aumento,Média de aumento,Média de aumento,app\voltris-optimizer\page.tsx
page.40_lag,-40% Lag,-40% Lag,-40% Lag,-40% Lag,-40% Lag,-40% Lag,-40% Lag,-40% Lag,-40% Lag,app\voltris-optimizer\page.tsx
page.reduo_mdia,Redução média,Redução média,Redución média,Redution média,Redution média,Redução média,Redução média,Redução média,Redução média,app\voltris-optimizer\page.tsx
page.velocidade,Velocidade,Velocidade,Velocidad,Velocité,Velocität,Velocidade,Velocidade,Velocidade,Velocidade,app\voltris-optimizer\page.tsx
page.10k,10k+,10k+,10k+,10k+,10k+,10k+,10k+,10k+,10k+,app\voltris-optimizer\page.tsx
page.downloads,Downloads,Downloads,Downloads,Downloads,Downloads,Downloads,Downloads,Downloads,Downloads,app\voltris-optimizer\page.tsx
page.satisfao,Satisfação,Satisfação,Satisfación,Satisfation,Satisfation,Satisfação,Satisfação,Satisfação,Satisfação,app\voltris-optimizer\page.tsx
page.jogos_suportados,Jogos Suportados,Jogos Suportados,Jogos Suportados,Jogos Suportados,Jogos Suportados,Jogos Suportados,Jogos Suportados,Jogos Suportados,Jogos Suportados,app\voltris-optimizer\page.tsx
page.suporte,Suporte,Suporte,Suporte,Suporte,Suporte,Suporte,Suporte,Suporte,Suporte,app\voltris-optimizer\page.tsx
page.o_que_nossos_usurios_dizem,O Que Nossos Usuários Dizem,O Que Nossos Usuários Dizem,O Que Nossos Usuários Dizem,O Que Nossos Usuários Dizem,O Que Nossos Usuários Dizem,O Que Nossos Usuários Dizem,O Que Nossos Usuários Dizem,O Que Nossos Usuários Dizem,O Que Nossos Usuários Dizem,app\voltris-optimizer\page.tsx
page.servios_relacionados,Serviços Relacionados,Serviços Relacionados,Serviços Relacionados,Serviços Relacionados,Serviços Relacionados,Serviços Relacionados,Serviços Relacionados,Serviços Relacionados,Serviços Relacionados,app\voltris-optimizer\page.tsx
page.formatao_de_windows,Formatação de Windows,Formatação de Windows,Formatación de Windows,Formatation de Windows,Formatation de Windows,Formatação de Windows,Formatação de Windows,Formatação de Windows,Formatação de Windows,app\voltris-optimizer\page.tsx
page.instalao_limpa_e_configuraes_otimizadas,Instalação limpa e configurações otimizadas,Instalação limpa e configurações otimizadas,Instalación limpa e configurações otimizadas,Instalation limpa e configurações otimizadas,Instalation limpa e configurações otimizadas,Instalação limpa e configurações otimizadas,Instalação limpa e configurações otimizadas,Instalação limpa e configurações otimizadas,Instalação limpa e configurações otimizadas,app\voltris-optimizer\page.tsx
page.saiba_mais_,Saiba mais →,Saiba mais →,Saiba mais →,Saiba mais →,Saiba mais →,Saiba mais →,Saiba mais →,Saiba mais →,Saiba mais →,app\voltris-optimizer\page.tsx
page.otimizao_de_pc,Otimização de PC,Otimização de PC,Otimización de PC,Otimization de PC,Otimization de PC,Otimização de PC,Otimização de PC,Otimização de PC,Otimização de PC,app\voltris-optimizer\page.tsx
page.aumente_fps_em_jogos_e_velocidade_do_sistema,Aumente FPS em jogos e velocidade do sistema,Aumente FPS em jogos e velocidade do sistema,Aumente FPS em jogos e velocidad do sistema,Aumente FPS em jogos e velocité do sistema,Aumente FPS em jogos e velocität do sistema,Aumente FPS em jogos e velocidade do sistema,Aumente FPS em jogos e velocidade do sistema,Aumente FPS em jogos e velocidade do sistema,Aumente FPS em jogos e velocidade do sistema,app\voltris-optimizer\page.tsx
page.assistncia_tcnica,Assistência Técnica,Assistência Técnica,Assistência Técnica,Assistência Técnica,Assistência Técnica,Assistência Técnica,Assistência Técnica,Assistência Técnica,Assistência Técnica,app\voltris-optimizer\page.tsx
page.service_host_svchost,Service Host (SvcHost),Service Host (SvcHost),Service Host (SvcHost),Service Host (SvcHost),Service Host (SvcHost),Service Host (SvcHost),Service Host (SvcHost),Service Host (SvcHost),Service Host (SvcHost),app\verificar-processos-que-consomem-mais-cpu-windows\page.tsx
page._o,", o",", o",", o",", o",", o",", o",", o",", o",", o",app\verificar-processos-que-consomem-mais-cpu-windows\page.tsx
page.windows_defender,Windows Defender,Windows Defender,Windows Defender,Windows Defender,Windows Defender,Windows Defender,Windows Defender,Windows Defender,Windows Defender,app\verificar-processos-que-consomem-mais-cpu-windows\page.tsx
page.realizando_scans_o,"realizando scans, o","realizando scans, o","realizando scans, o","realizando scans, o","realizando scans, o","realizando scans, o","realizando scans, o","realizando scans, o","realizando scans, o",app\verificar-processos-que-consomem-mais-cpu-windows\page.tsx
